S#,Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Hospital Names,Temperature(C),Temperature(F),Explosive Weight (max kg)
256,4/5/2010,20 Raby` al-THaany 1431 A.H.,Working Day,,12:00 NOON,Lower Dir,34.8453,71.9046,KPK,ANP rally in Timergara,Hotel,Medium,Open,,Government Official,,50,56,75,120,3,1.Lady Reading Hospital 2.Khaber Teaching Hospital,21.1,69.98,
257,4/16/2010,2 Jumaada al-awal 1431 A.H,Working Day,,,Quetta,30.2095,67.0182,Balochistan,Quetta civil Hospital,Hospital,Low,Closed,,Government Official,Shia,,11,35,40,1,1.Civil Hospital 2.Bolan Medical Complex 3. CMH,25.14,77.25,15
258,4/17/2010,3 Jumaada al-awal 1431 A.H,Working Day,,12:00 PM,Kohat,33.5833,71.4333,KPK,IDP camp-kacha Pakha area on Hangu Road Kohat,Park/Ground,Low,Open,,Civilian,,41,44,60,70,2,1.District Headquarter Hospital 2.Liaqat Hospital,28.74,83.74,12
259,4/18/2010,4 Jumaada al-awal 1431 A.H,Holiday,Weekend,7:15 AM,Kohat,33.5833,71.4333,KPK,Kohat Police Station,Police,High,Closed,,Police,,,7,30,32,1,District Headquarter Hospital,26.62,79.92,250
260,4/19/2010,5 Jumaada al-awal 1431 A.H,Working Day,,12:30 PM,Peshawar,34.0043,71.5448,KPK,Protest demonstration Qissa Khawani Bazaar,Park/Ground,Low,Open,Jamit-i-Islam members,Anti-Militants,Sunni,23,24,27,49,1,Lady Reading Hospital,25.96,78.73,8
261,4/28/2010,14 Jumaada al-awal 1431 A.H,Working Day,,4:05 AM,Peshawar,34.0043,71.5448,KPK,Pir Bala Police Check post,Police,High,Open,,Police,,4,5,11,14,1,Lady Reading Hospital,26.47,79.65,300
262,5/1/2010,17 Jumaada al-awal 1431 A.H,Holiday,Labour Day,,Swat,35.2227,72.4258,KPK,Sohrab Khan Market town Mingora,Market,Low,Open,,Civilian,,3,7,9,16,1,,23.32,73.97,15
263,5/2/2010,18 Jumaada al-awal 1431 A.H,Holiday,Weekend,,Bajaur Agency,34.8718,71.5249,FATA,Bilalabad area near Khar town,Military,High,Open,,Military,,,0,,0,1,,27.02,80.64,
264,5/28/2010,14 Jumaada al-THaany 1431 A.H,Working Day,,,Lahore,31.5451,74.3407,Punjab,Model Town and garhi shahu  lahore,Religious,Medium,Closed,,Civilian,Ahmedi,80,95,92,200,1,,31.5,88.69,
265,7/1/2010,19 Rajab 1431 A.H,Working Day,,10:46 PM,Lahore,31.5451,74.3407,Punjab,Data Darbar-Lahore,Religious,Medium,Closed,,Civilian,,40,42,,175,2,1. Mayo Hospital; 2. Sir Ganga Ram Hospital ; 3. Services Hospital,32.37,90.27,20
266,7/9/2010,27 Rajab 1431 A.H,Working Day,,,Mohmand Agency,32.9746,70.1456,FATA,"Yakka Ghund Tehsil
of Mohmand Agency",Park/Ground,Low,Open,,Government Official,,65,80,104,110,2,Lady Reading Hospital Peshwar,26.72,80.1,
267,7/12/2010,30 Rajab 1431 A.H,Working Day,,,Kohat,33.5833,71.4333,KPK,outside the guest house of a pro-Government tribal elder-Malik Swab Khan-in Kohat District,Government,Low,Open,,Government Official,,,0,,0,1,,32.2,89.97,
268,7/18/2010,6 SHa`baan 1431 A.H,Holiday,Weekend,,Sargodha,32.0791,72.6718,Punjab,Dar-ul-uloom muhamdia imambargh,Religious,Medium,Closed,,Religious,Shia,3,4,9,26,1,,34.8,94.65,
269,7/26/2010,14 SHa`baan 1431 A.H,Working Day,,,Nowshera,34.0322,73.0944,KPK,"Nowshera near
Provincial Info Ministr house",Residence,Medium,Closed,,Government Official,Sunni,,8,23,25,1,Lady Reading Hospital Peshwar,31.52,88.74,10
